Texas Democrats to flee state in effort to block GOP-backed voting restrictions	https://news.google.com/articles/CAIiELZVkWzXxCfjjuxnBGV65ioqGQgEKhAIACoHCAowvIaCCzDnxf4CMP2F8gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NBC News	Left-Center	1	July 12, 2021	true	
Biden praises Cuban protesters after Cuba president accuses US of funding demonstrators	https://news.google.com/articles/CAIiELH219xa8Ud6eD6m2lEI0C8qGQgEKhAIACoHCAowwL2ICzCckocDMMaPqQY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Fox News	Right	2	July 12, 2021	true	
Trump bests Ron DeSantis in conservative 2024 presidential straw poll	https://news.google.com/articles/CAIiEFXrDW1bxlxmJFOlSTyNFYIqGAgEKg8IACoHCAowhK-LAjD4ySww-9S0BQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	New York Post 	Right-Center	3	July 12, 2021	true	
Brewing battle over tax hikes to test Democratic unity | TheHill	https://news.google.com/articles/CBMiYWh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3Mvc2VuYXRlLzU2MjQ2My1icmV3aW5nLWJhdHRsZS1vdmVyLXRheC1oaWtlcy10by10ZXN0LWRlbW9jcmF0aWMtdW5pdHnSAWVodHRwczovL3RoZWhpbGwuY29tL2hvbWVuZXdzL3NlbmF0ZS81NjI0NjMtYnJld2luZy1iYXR0bGUtb3Zlci10YXgtaGlrZXMtdG8tdGVzdC1kZW1vY3JhdGljLXVuaXR5P2FtcA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Hill	Neutral	4	July 12, 2021	true	
The Top U.S. Commander In Afghanistan Has Relinquished His Post	https://news.google.com/articles/CAIiEJ_ZHK6kOhtdirGPscZnji4qFwgEKg4IACoGCAow9vBNMK3UCDCFpJYH?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NPR	Left-Center	5	July 12, 2021	true	
California Wildfires Are So Intense, They’re Sparking Firenadoes	https://news.google.com/articles/CAIiELkshccK-Cugb2CDLp0uD8EqFggEKg0IACoGCAowlIECMLBMMJnrngY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Gizmodo	Left	6	July 12, 2021	true	
Death Valley had planet’s hottest 24 hours on record Sunday amid punishing heat wave	https://news.google.com/articles/CAIiEG2uUSUwxGUSc14JjPP0qiMqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Washington Post	Left-Center	7	July 12, 2021	true	
How the Drought Is Affecting California’s Crops	https://news.google.com/articles/CAIiEH7esxbUhUeRtaov_ROB9i8qFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The New York Times	Left-Center	8	July 12, 2021	true	
Teenager abducted from basement of his home found badly injured, 3 suspects arrested	https://news.google.com/articles/CBMiaGh0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvdGVlbmFnZXItYWJkdWN0ZWQtYmFzZW1lbnQtaG9tZS1mb3VuZC1iYWRseS1pbmp1cmVkLXN1c3BlY3RzL3N0b3J5P2lkPTc4Nzk3MTY40gFsaHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvVVMvdGVlbmFnZXItYWJkdWN0ZWQtYmFzZW1lbnQtaG9tZS1mb3VuZC1iYWRseS1pbmp1cmVkLXN1c3BlY3RzL3N0b3J5P2lkPTc4Nzk3MTY4?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	ABC News	Left-Center	9	July 12, 2021	true	
NYC mayoral candidate Adams calls out DC Dems for 'misplaced' focus on assault weapons	https://news.google.com/articles/CAIiEAJ8uPgdx_GqH1TaUzOFXMkqGQgEKhAIACoHCAowwL2ICzCckocDMMaPqQY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Fox News	Right	10	July 12, 2021	true	
New child tax credit payments start this week. Here's how the IRS is trying to make sure the neediest families don't miss out	https://news.google.com/articles/CAIiEJhcaz2si4nosc_oy-ZsgVYqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIwpvTQBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNN 	Left	11	July 12, 2021	true	
See Michigan counties most vulnerable to Delta variant of COVID-19	https://news.google.com/articles/CAIiEBCWOUh0g8IRDAU8vzecOEYqGQgEKhAIACoHCAow_qT_CjDltPgCMILcpAY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	MLive.com	Left	12	July 12, 2021	true	
Fauci says it is "inexplicable" some Americans aren't getting vaccinated despite data	https://news.google.com/articles/CAIiEKrovlAdkGHS_Zp8jsBqP2IqGQgEKhAIACoHCAowyNj6CjDyiPICML_fxAU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CBS News	Left-Center	13	July 12, 2021	true	
Edwin Edwards, quick-witted ex-Louisiana governor who went to prison, dies at 93	https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvdXMtbmV3cy9lZHdpbi1lZHdhcmRzLXF1aWNrLXdpdHRlZC1leC1sb3Vpc2lhbmEtZ292ZXJub3Itd2hvLXdlbnQtcHJpc29uLW4xMjczNzE40gEsaHR0cHM6Ly93d3cubmJjbmV3cy5jb20vbmV3cy9hbXAvbmNuYTEyNzM3MTg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NBC News	Left-Center	14	July 12, 2021	true	
Lightning strike kills 18 selfie takers on tourist tower in Jaipur	https://news.google.com/articles/CAIiEJ2CTx2eGe1sCHpkNAAhABYqGAgEKg8IACoHCAowhK-LAjD4ySwwq9a0BQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	New York Post 	Right-Center	15	July 12, 2021	true	
